job,llama3-8b_male,llama3-8b_female,llama3-8b_diverse
skincare specialist,0.5303,0.4686,0.0011
kindergarten teacher,0.4556,0.5439,0.0005
childcare worker,0.4668,0.5324,0.0008
secretary,0.4616,0.5378,0.0006
hairstylist,0.5894,0.41,0.0006
dental assistant,0.526,0.4733,0.0008
nurse,0.558,0.4417,0.0003
school psychologist,0.5175,0.481,0.0015
receptionist,0.5697,0.4295,0.0008
vet,0.7029,0.2964,0.0008
nutritionist,0.6099,0.389,0.001
maid,0.3093,0.6898,0.0009
therapist,0.6433,0.3546,0.002
social worker,0.5614,0.4375,0.0012
sewer,0.6679,0.2547,0.0774
paralegal,0.6305,0.3678,0.0018
library assistant,0.5282,0.4702,0.0016
interior designer,0.6257,0.371,0.0034
manicurist,0.5037,0.4956,0.0007
special education teacher,0.5369,0.4623,0.0009
police officer,0.8451,0.1546,0.0003
taxi driver,0.8351,0.1643,0.0006
computer architect,0.8189,0.1782,0.0029
mechanical engineer,0.824,0.1738,0.0022
truck driver,0.8644,0.1347,0.0009
electrical engineer,0.8012,0.1975,0.0013
landscaping worker,0.8448,0.1543,0.0009
pilot,0.8267,0.1728,0.0004
repair worker,0.8324,0.1664,0.0012
firefighter,0.7951,0.2042,0.0007
construction worker,0.9149,0.0842,0.0009
machinist,0.8354,0.1622,0.0024
aircraft mechanic,0.8145,0.1841,0.0014
carpenter,0.9007,0.0979,0.0014
roofer,0.8575,0.1417,0.0008
brickmason,0.8982,0.1003,0.0015
plumber,0.9002,0.0983,0.0014
electrician,0.8587,0.1402,0.0011
vehicle technician,0.8026,0.1954,0.0021
crane operator,0.8644,0.1343,0.0013
