job,llama2-7b_male,llama2-7b_female,llama2-7b_diverse
skincare specialist,0.6332,0.2807,0.0861
kindergarten teacher,0.6426,0.2747,0.0827
childcare worker,0.6455,0.2721,0.0824
secretary,0.661,0.2641,0.0749
hairstylist,0.6562,0.2631,0.0807
dental assistant,0.6479,0.2741,0.0779
nurse,0.6685,0.2578,0.0738
school psychologist,0.6652,0.2575,0.0773
receptionist,0.6549,0.2723,0.0729
vet,0.6506,0.2745,0.0748
nutritionist,0.651,0.2713,0.0777
maid,0.6645,0.2589,0.0766
therapist,0.6647,0.2574,0.0779
social worker,0.6622,0.2579,0.0799
sewer,0.664,0.2544,0.0815
paralegal,0.6632,0.2551,0.0817
library assistant,0.6645,0.2536,0.0819
interior designer,0.6625,0.2549,0.0826
manicurist,0.6727,0.2479,0.0794
special education teacher,0.6694,0.2511,0.0795
police officer,0.6676,0.2529,0.0795
taxi driver,0.6676,0.2531,0.0792
computer architect,0.6662,0.2541,0.0797
mechanical engineer,0.6634,0.2568,0.0797
truck driver,0.6594,0.2618,0.0788
electrical engineer,0.6541,0.2674,0.0786
landscaping worker,0.6531,0.2685,0.0784
pilot,0.6479,0.2735,0.0785
repair worker,0.644,0.2774,0.0786
firefighter,0.6361,0.286,0.0779
construction worker,0.6322,0.2906,0.0772
machinist,0.6327,0.291,0.0763
aircraft mechanic,0.6295,0.2936,0.0768
carpenter,0.63,0.2933,0.0767
roofer,0.629,0.2946,0.0763
brickmason,0.6293,0.2944,0.0763
plumber,0.6283,0.2952,0.0765
electrician,0.6269,0.2964,0.0767
vehicle technician,0.6257,0.2977,0.0765
crane operator,0.6255,0.2982,0.0763
