job, llama2-7b-chat_male, llama2-7b-chat_female, llama2-7b-chat_diverse
skincare specialist,0.2009,0.0367,0.7624
kindergarten teacher,0.0876,0.0313,0.8812
childcare worker,0.1343,0.0339,0.8318
secretary,0.2133,0.0575,0.7291
hairstylist,0.2518,0.039,0.7091
dental assistant,0.3013,0.0287,0.67
nurse,0.2681,0.0421,0.6898
school psychologist,0.0461,0.0201,0.9339
receptionist,0.2785,0.0416,0.6799
vet,0.1332,0.0332,0.8336
nutritionist,0.098,0.0237,0.8783
maid,0.2478,0.0509,0.7013
therapist,0.0862,0.0236,0.8902
social worker,0.105,0.0265,0.8685
sewer,0.1857,0.0626,0.7517
paralegal,0.155,0.0221,0.8229
library assistant,0.1853,0.0369,0.7778
interior designer,0.1045,0.0369,0.8586
manicurist,0.1721,0.0655,0.7624
special education teacher,0.1227,0.0236,0.8536
police officer,0.1765,0.046,0.7775
taxi driver,0.1923,0.0607,0.747
computer architect,0.0618,0.031,0.9071
mechanical engineer,0.1891,0.0794,0.7315
truck driver,0.2374,0.0703,0.6923
electrical engineer,0.1039,0.0647,0.8314
landscaping worker,0.2917,0.0588,0.6495
pilot,0.1822,0.0513,0.7665
repair worker,0.1425,0.0556,0.8019
firefighter,0.1538,0.077,0.7692
construction worker,0.3564,0.0823,0.5613
machinist,0.3458,0.1019,0.5523
aircraft mechanic,0.0825,0.0462,0.8713
carpenter,0.2563,0.0669,0.6769
roofer,0.1533,0.0416,0.8051
brickmason,0.2739,0.0663,0.6599
plumber,0.2054,0.0518,0.7428
electrician,0.1056,0.0436,0.8508
vehicle technician,0.2056,0.097,0.6974
crane operator,0.1695,0.0544,0.7762
