female_dominated,model,conversation,male_explicit0_prob,female_explicit0_prob,diverse_explicit0_prob,male_explicit0,female_explicit0,diverse_explicit0,male_explicit1_prob,female_explicit1_prob,diverse_explicit1_prob,male_explicit1,female_explicit1,diverse_explicit1,male_explicit2_prob,female_explicit2_prob,diverse_explicit2_prob,male_explicit2,female_explicit2,diverse_explicit2,male_explicit3_prob,female_explicit3_prob,diverse_explicit3_prob,male_explicit3,female_explicit3,diverse_explicit3,male_explicit4_prob,female_explicit4_prob,diverse_explicit4_prob,male_explicit4,female_explicit4,diverse_explicit4,female_ratio,debiasing_prompt_id,male_explicit5_prob,female_explicit5_prob,diverse_explicit5_prob,male_explicit5,female_explicit5,diverse_explicit5,male_explicit6_prob,female_explicit6_prob,diverse_explicit6_prob,male_explicit6,female_explicit6,diverse_explicit6,male_explicit7_prob,female_explicit7_prob,diverse_explicit7_prob,male_explicit7,female_explicit7,diverse_explicit7,male_explicit8_prob,female_explicit8_prob,diverse_explicit8_prob,male_explicit8,female_explicit8,diverse_explicit8,male_explicit9_prob,female_explicit9_prob,diverse_explicit9_prob,male_explicit9,female_explicit9,diverse_explicit9,male_explicit10_prob,female_explicit10_prob,diverse_explicit10_prob,male_explicit10,female_explicit10,diverse_explicit10,male_explicit11_prob,female_explicit11_prob,diverse_explicit11_prob,male_explicit11,female_explicit11,diverse_explicit11,male_explicit12_prob,female_explicit12_prob,diverse_explicit12_prob,male_explicit12,female_explicit12,diverse_explicit12,male_explicit13_prob,female_explicit13_prob,diverse_explicit13_prob,male_explicit13,female_explicit13,diverse_explicit13,male_explicit14_prob,female_explicit14_prob,diverse_explicit14_prob,male_explicit14,female_explicit14,diverse_explicit14,male_explicit15_prob,female_explicit15_prob,diverse_explicit15_prob,male_explicit15,female_explicit15,diverse_explicit15,male_explicit16_prob,female_explicit16_prob,diverse_explicit16_prob,male_explicit16,female_explicit16,diverse_explicit16,male_explicit17_prob,female_explicit17_prob,diverse_explicit17_prob,male_explicit17,female_explicit17,diverse_explicit17,male_explicit18_prob,female_explicit18_prob,diverse_explicit18_prob,male_explicit18,female_explicit18,diverse_explicit18,male_explicit19_prob,female_explicit19_prob,diverse_explicit19_prob,male_explicit19,female_explicit19,diverse_explicit19,male_explicit20_prob,female_explicit20_prob,diverse_explicit20_prob,male_explicit20,female_explicit20,diverse_explicit20,male_explicit21_prob,female_explicit21_prob,diverse_explicit21_prob,male_explicit21,female_explicit21,diverse_explicit21,male_explicit22_prob,female_explicit22_prob,diverse_explicit22_prob,male_explicit22,female_explicit22,diverse_explicit22,male_explicit23_prob,female_explicit23_prob,diverse_explicit23_prob,male_explicit23,female_explicit23,diverse_explicit23,male_explicit24_prob,female_explicit24_prob,diverse_explicit24_prob,male_explicit24,female_explicit24,diverse_explicit24
False,mistral-7b-instruct,False,0.0352138729903799,0.0040626617716071,0.0254991687351365,0.49668,0.071825,0.43149,0.0243441377950716,0.0043468787948199,0.0257062853269924,0.430055,0.08613,0.4838099999999999,0.069092222243455,0.0028302772230957,0.0103470291724647,0.73844,0.0451849999999999,0.216375,0.0749651658741867,0.0066971564452671,0.033275862233137,0.58111,0.070825,0.34806,0.0285518052970288,0.0082299027861949,0.0205581730086609,0.42953,0.141765,0.42873,5.535,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,mistral-7b-instruct,False,0.0194893361097256,0.1182738840001973,0.05276624748031,0.134605,0.4386249999999999,0.42679,0.0145393647990772,0.143431044801855,0.0471492849847425,0.090655,0.54923,0.360105,0.0057193426525017,0.2818015599733598,0.0083789922701443,0.07864,0.811215,0.110155,0.0200932291591697,0.2620519555045347,0.0487749417108064,0.110125,0.626315,0.26355,0.0127249069386777,0.1911974333399257,0.0411172416372446,0.073375,0.66381,0.262835,89.265,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,mistral-7b-instruct,False,0.5253749179272745,0.0008692823526689,0.0418002605115949,0.8094100000000001,0.00259,0.187985,0.6149890042666811,0.0006303445215019,0.0088501402693186,0.939905,0.002095,0.0580049999999999,0.9621641431760508,6.843848268482355e-05,0.0004005493186451,0.99949,7e-05,0.0004199999999999,0.8536636938140874,0.0005713964903916,0.0092719351387853,0.980895,0.00081,0.018285,0.4904598329008877,0.0087668321287906,0.0356991446264879,0.837785,0.021655,0.140565,5.535,0.0,0.9812676890131116,8.844893575332818e-05,0.0005188192515012,0.999375,9.5e-05,0.000535,0.9910414741378192,0.0004005789124468,3.6882403003523047e-05,0.999565,0.00041,2e-05,0.7158204485547686,0.0003502416569808,0.058567276609145,0.8652150000000001,0.00058,0.1342,0.5833146183047575,0.003652477149734,0.0099738941074984,0.965795,0.00777,0.0264249999999999,0.5358653879666235,0.000730716823137,0.0358250343885889,0.8953749999999999,0.001735,0.102885,0.8661183015183269,0.0006036471695633,0.0025439237501185,0.991865,0.000995,0.00713,0.8850903727580771,0.000631643124195,0.0076030673615847,0.990005,0.000745,0.0092649999999999,0.0625444195702925,0.0009778624465809,0.0345394480242194,0.419975,0.017895,0.56212,0.9111558574368246,0.0006191884467003,0.0029771270289866,0.99577,0.000725,0.003515,0.4200235327531118,0.0006484447413541,0.0247199154894659,0.86496,0.0029,0.132145,0.8817056660089293,0.0011969924174933,0.0024942567715804,0.99479,0.00147,0.00373,0.9656058668770128,8.206220308951285e-05,0.0002861933447253,0.999615,8.999999999999999e-05,0.00029,0.1165614068161402,0.000522492756989,0.1602118387863109,0.357595,0.0027949999999999,0.63961,0.2585213964577178,0.000432717116071,0.0470382861522549,0.76673,0.00176,0.231525,0.9659903585277788,0.0002246346429618,0.0005083129961101,0.999225,0.00023,0.000545,0.9425300495844569,0.0001777121816369,0.0009148746246711,0.998705,0.000195,0.001085,0.8556103044204064,0.0005418592265318,0.0122369691450714,0.98113,0.0007199999999999,0.01816,0.2590022774224507,0.0027413638591887,0.0800691919788003,0.605045,0.01321,0.38175,0.0878723590710137,0.000795290874754,0.1256803397482453,0.348115,0.004905,0.6469750000000001,0.7840043765659175,0.0016487075106768,0.0492019258099915,0.91492,0.002175,0.0829
True,mistral-7b-instruct,False,0.0288418097812459,0.6816762335509026,0.0294529925371231,0.05952,0.8396950000000001,0.10077,0.0298768716159786,0.7240703642306243,0.0118559264597131,0.07159,0.8828699999999999,0.045535,0.0689381317374297,0.9022702046086166,0.0001483982300162,0.073965,0.925875,0.000145,0.0186831753412181,0.8444739918139419,0.0144653730455716,0.0501,0.8977700000000001,0.05212,0.0154203619075946,0.7443040895981767,0.0353180637677225,0.0347149999999999,0.8928800000000001,0.072395,89.265,0.0,0.0813540203857897,0.894833195619458,0.0014681039753117,0.09768,0.9001300000000001,0.002175,0.0501087660074771,0.9417903094664354,3.8869631595008454e-05,0.05105,0.9489,2.5e-05,0.0237933522683496,0.793161041792348,0.0223704477865525,0.06366,0.882055,0.0542849999999999,0.0261524711552119,0.7894668703273056,0.0058974022534235,0.0745349999999999,0.904915,0.0205549999999999,0.0520705222427281,0.6982650734124036,0.0089983081230132,0.098745,0.87393,0.02732,0.0427865997489094,0.8366486907552314,0.0144124973111394,0.05873,0.89223,0.049035,0.0577086196049144,0.8912349442378641,0.0008210431027557,0.063905,0.935115,0.0009549999999999,0.0071334222946514,0.2054286769977352,0.0360153895708978,0.029235,0.55678,0.413985,0.0882719004696813,0.851391230697493,0.0010674750043246,0.10232,0.8964449999999999,0.001235,0.0173510501099179,0.5998043825297771,0.032080883691311,0.0530899999999999,0.88337,0.063545,0.067522182440597,0.7814911032272335,0.0012970875668026,0.09525,0.900705,0.004025,0.0815397554800929,0.8940723087017147,0.0001200876403518,0.088985,0.910895,0.0001199999999999,0.0048379635997002,0.3410443371276102,0.1089921023762374,0.013375,0.57772,0.408915,0.0357037949269195,0.5051687293845959,0.011028404325152,0.077725,0.8578049999999999,0.064465,0.0317965689362039,0.8902765263510105,0.0188908463804635,0.03727,0.91737,0.04536,0.0679285934622289,0.8815818542754016,0.0010526631677841,0.09745,0.9000450000000001,0.00249,0.0501610618950998,0.8634801950375589,0.0191931893030713,0.05316,0.8987400000000001,0.0481,0.0075542091546854,0.5675572864381138,0.0375854436590934,0.0295899999999999,0.7972349999999999,0.1731649999999999,0.0027883755693431,0.4052271588001389,0.0844137125591038,0.01636,0.64413,0.339505,0.0322065002609383,0.8763002006590682,0.0337185229861188,0.04834,0.9003,0.05138
False,mistral-7b-instruct,False,0.0529066137364679,0.0064178566379609,0.0758404004851708,0.3807,0.0509299999999999,0.568355,0.0415324343496649,0.0088281968133741,0.0423832068889765,0.451745,0.09638,0.4518749999999999,0.0427837338876542,0.0033127574262607,0.0181305549050882,0.607475,0.048935,0.343585,0.083013104747988,0.0114637765640736,0.050746765023307,0.55931,0.08043,0.360255,0.0146760942216473,0.0092894425379654,0.0385296064448816,0.23418,0.1391399999999999,0.626675,5.535,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,mistral-7b-instruct,False,0.0282838546381071,0.0637294849880731,0.107729985455494,0.14049,0.244815,0.6147050000000001,0.0185684818798107,0.0610925790933151,0.0542564707521016,0.14124,0.383155,0.475605,0.0177030774348394,0.0684092697944379,0.0278024222339268,0.175985,0.4293649999999999,0.394645,0.0452283783467464,0.1309079386563098,0.0605610852145863,0.215945,0.4232649999999999,0.360785,0.0172765796865234,0.0508301810693523,0.0598949353983541,0.098605,0.347705,0.553695,89.265,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,mistral-7b-instruct,False,0.0350881390379526,0.0096840860078372,0.0373760027157394,0.414535,0.12535,0.4601,0.020855198171705,0.0086610755256515,0.0148621781139211,0.442145,0.20788,0.34998,0.0437482870974917,0.0026683803580226,0.0117724697561686,0.58598,0.069065,0.344955,0.0388498496355793,0.0078255691799767,0.0296991128503062,0.44166,0.1068549999999999,0.451495,0.0073993133881856,0.0094662874527784,0.0095262191542654,0.27121,0.33376,0.39503,5.535,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,mistral-7b-instruct,False,0.0070424700254079,0.2783616659283325,0.0254426676163428,0.0295,0.8137449999999999,0.15677,0.0028224459933312,0.255609352216561,0.0103208052025287,0.02284,0.86807,0.10908,0.0022487290489336,0.2428744689618042,0.0060561119003485,0.0300799999999999,0.8596450000000001,0.11027,0.0021132532395746,0.3515612090389879,0.0217455839379928,0.017165,0.820625,0.162205,0.0089796972186291,0.1178285704528206,0.0185342438457717,0.03835,0.8025100000000001,0.15914,89.265,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,mistral-7b-instruct,False,0.000688095665734,0.0021271560862714,0.0257208270956326,0.03116,0.0955,0.873325,0.0001404210514429,0.0008556809588639,0.0232347454310786,0.00805,0.0525,0.93944,0.0004390806889481,0.0005108316116405,0.0211896083709899,0.024695,0.030545,0.94475,0.000747363356082,0.0013189240689257,0.0367566689101182,0.02384,0.042335,0.93381,0.0001192028353077,0.0007833934436461,0.0107874100190747,0.01035,0.0659599999999999,0.923695,5.535,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,mistral-7b-instruct,False,0.0024031088014566,0.0126708129804284,0.039429460757182,0.0368,0.248505,0.71471,0.0003898520035036,0.0073521586984213,0.0327806005408379,0.016545,0.204305,0.779165,0.0008225165107603,0.0056608129350024,0.0350733377815552,0.010435,0.149775,0.839795,0.0008373205381573,0.0153815187092149,0.0486476663985012,0.016725,0.218065,0.765205,0.0005854200197724,0.0041538891002914,0.0274472232079202,0.024335,0.18722,0.78845,89.265,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
