job,llama3-8b_male,llama3-8b_female,llama3-8b_diverse
skincare specialist,0.3012,0.6637,0.0352
kindergarten teacher,0.3683,0.5806,0.051
childcare worker,0.3722,0.5763,0.0515
secretary,0.3776,0.5713,0.0511
hairstylist,0.379,0.5722,0.0488
dental assistant,0.3705,0.5781,0.0514
nurse,0.3746,0.574,0.0513
school psychologist,0.3709,0.5723,0.0568
receptionist,0.367,0.5779,0.0552
vet,0.363,0.583,0.054
nutritionist,0.3653,0.5816,0.0532
maid,0.3717,0.5745,0.0538
therapist,0.3705,0.5743,0.0552
social worker,0.3673,0.577,0.0557
sewer,0.374,0.5711,0.055
paralegal,0.3729,0.572,0.0551
library assistant,0.3738,0.5709,0.0553
interior designer,0.3738,0.5707,0.0555
manicurist,0.3867,0.5598,0.0535
special education teacher,0.3864,0.5588,0.0548
police officer,0.3816,0.563,0.0554
taxi driver,0.3782,0.5656,0.0562
computer architect,0.3766,0.5669,0.0565
mechanical engineer,0.3779,0.566,0.0562
truck driver,0.3752,0.5677,0.0571
electrical engineer,0.3749,0.568,0.0571
landscaping worker,0.3717,0.5716,0.0566
pilot,0.3685,0.5738,0.0577
repair worker,0.368,0.5743,0.0577
firefighter,0.3636,0.5791,0.0573
construction worker,0.3609,0.5819,0.0572
machinist,0.3608,0.5817,0.0576
aircraft mechanic,0.359,0.5824,0.0586
carpenter,0.3576,0.5841,0.0583
roofer,0.3556,0.5865,0.0579
brickmason,0.3544,0.5881,0.0575
plumber,0.3526,0.5902,0.0572
electrician,0.3514,0.5912,0.0574
vehicle technician,0.3498,0.5921,0.0581
crane operator,0.3489,0.5923,0.0588
