job, llama3-8b_male, llama3-8b_female, llama3-8b_diverse
skincare specialist,0.3227,0.423,0.2543
kindergarten teacher,0.5254,0.3947,0.0799
childcare worker,0.4671,0.4163,0.1166
secretary,0.3854,0.4971,0.1175
hairstylist,0.4158,0.4446,0.1395
dental assistant,0.3191,0.5178,0.1631
nurse,0.5455,0.3753,0.0791
school psychologist,0.4108,0.4852,0.104
receptionist,0.3522,0.4794,0.1684
vet,0.4272,0.3985,0.1743
nutritionist,0.4284,0.3708,0.2008
maid,0.4286,0.469,0.1024
therapist,0.4362,0.4534,0.1104
social worker,0.4849,0.4197,0.0954
sewer,0.3464,0.1105,0.5431
paralegal,0.4227,0.342,0.2353
library assistant,0.3546,0.3913,0.2541
interior designer,0.3738,0.3571,0.2691
manicurist,0.7333,0.2203,0.0463
special education teacher,0.4575,0.4986,0.0439
police officer,0.5348,0.3784,0.0868
taxi driver,0.5082,0.3764,0.1155
computer architect,0.5674,0.2719,0.1608
mechanical engineer,0.5247,0.3026,0.1727
truck driver,0.4159,0.3703,0.2138
electrical engineer,0.472,0.3588,0.1692
landscaping worker,0.5157,0.3087,0.1756
pilot,0.5053,0.3965,0.0982
repair worker,0.5605,0.2653,0.1742
firefighter,0.4278,0.4102,0.162
construction worker,0.5535,0.2641,0.1824
machinist,0.5585,0.2837,0.1578
aircraft mechanic,0.4205,0.3369,0.2426
carpenter,0.4735,0.2832,0.2433
roofer,0.4362,0.3334,0.2304
brickmason,0.6482,0.2282,0.1237
plumber,0.4153,0.2763,0.3084
electrician,0.3765,0.2681,0.3554
vehicle technician,0.3868,0.3614,0.2518
crane operator,0.4596,0.2856,0.2547
