job, llama3-8b-instruct_male, llama3-8b-instruct_female, llama3-8b-instruct_diverse
skincare specialist,0.3772,0.6141,0.0088
kindergarten teacher,0.4318,0.5561,0.0121
childcare worker,0.3573,0.626,0.0167
secretary,0.392,0.596,0.012
hairstylist,0.4432,0.5469,0.01
dental assistant,0.3519,0.6377,0.0104
nurse,0.4742,0.5125,0.0134
school psychologist,0.3563,0.6265,0.0171
receptionist,0.3857,0.6033,0.011
vet,0.411,0.5742,0.0148
nutritionist,0.4197,0.5658,0.0144
maid,0.2449,0.7364,0.0187
therapist,0.3569,0.6314,0.0116
social worker,0.4221,0.5649,0.013
sewer,0.4579,0.5343,0.0078
paralegal,0.3974,0.592,0.0107
library assistant,0.5162,0.4693,0.0145
interior designer,0.4464,0.5401,0.0135
manicurist,0.4883,0.504,0.0077
special education teacher,0.4788,0.5075,0.0137
police officer,0.4198,0.5612,0.0189
taxi driver,0.5514,0.4283,0.0204
computer architect,0.5269,0.459,0.0141
mechanical engineer,0.6401,0.3496,0.0103
truck driver,0.6326,0.3477,0.0197
electrical engineer,0.571,0.4156,0.0133
landscaping worker,0.5469,0.4324,0.0207
pilot,0.5799,0.4053,0.0147
repair worker,0.5366,0.4488,0.0146
firefighter,0.42,0.5698,0.0102
construction worker,0.6188,0.3585,0.0226
machinist,0.551,0.4363,0.0127
aircraft mechanic,0.5086,0.4782,0.0132
carpenter,0.6518,0.3358,0.0125
roofer,0.5013,0.4869,0.0118
brickmason,0.5934,0.3987,0.0079
plumber,0.5368,0.4495,0.0137
electrician,0.4753,0.5095,0.0152
vehicle technician,0.4392,0.5465,0.0143
crane operator,0.4405,0.5453,0.0142
